1661	3652	0	3651
1671	3653	3652	7304
1681	3652	7305	10956
1691	3652	10957	14608
1701	3652	14609	18260
1711	3653	18261	21913
1721	3652	21914	25565
1731	3653	25566	29218
1741	3652	29219	32870
1751	3653	32871	36523
1761	3652	36524	40175
1771	3653	40176	43828
1781	3652	43829	47480
1791	3652	47481	51132
1801	3652	51133	54784
1811	3653	54785	58437
1821	3652	58438	62089
1831	3653	62090	65742
1841	3652	65743	69394
1851	3653	69395	73047
1861	3652	73048	76699
1871	3653	76700	80352
1881	3652	80353	84004
1891	3652	84005	87656
1901	3652	87657	91308
1911	3653	91309	94961
1921	3652	94962	98613
1931	3653	98614	102266
1941	3652	102267	105918
1951	3653	105919	109571
1961	3652	109572	113223
1971	3653	113224	116876
1981	3652	116877	120528
1991	3653	120529	124181
2001	3652	124182	127833
2006	1826	126008	127833
2011	3653	127834	131486
2021	3652	131487	135138
2031	3653	135139	138791
2041	3652	138792	142443
2051	3653	142444	146096
2061	3652	146097	149748
2071	3653	149749	153401
2081	3652	153402	157053
2091	3287	157054	160340
2091	3652	157054	160705
2101	3652	178957	182608
2111	3653	182609	186261
2121	3652	186262	189913
2131	3653	189914	193566
2141	3652	193567	197218
2151	3653	197219	200871
2161	3652	200872	204523
2171	3653	204524	208176
2181	3652	208177	211828
2191	3652	211828	215480
2201	3652	215481	219132
2211	3653	219133	222785
2221	3652	222786	226437
2231	3653	226438	230090
2241	3652	230091	233742
2251	3653	233743	237395
2261	3652	237396	241047
2271	3653	241048	244700
2281	3652	244701	248352
2291	3653	248353	252004
2301	3652	252005	255656
